DialogueCode,file,provider,model_code,case_id,condition
D001,xai__case04__with_context.jsonl,xai,M4,4,with_context
D002,deepseek__case09__with_context.jsonl,deepseek,M1,9,with_context
D003,xai__case07__with_context.jsonl,xai,M4,7,with_context
D004,anthropic__case06__with_context.jsonl,anthropic,M3,6,with_context
D005,google__case05__without_context.jsonl,google,M2,5,without_context
D006,xai__case05__with_context.jsonl,xai,M4,5,with_context
D007,openai__case03__without_context.jsonl,openai,M5,3,without_context
D008,openai__case02__without_context.jsonl,openai,M5,2,without_context
D009,deepseek__case02__without_context.jsonl,deepseek,M1,2,without_context
D010,deepseek__case07__without_context.jsonl,deepseek,M1,7,without_context
D011,deepseek__case05__with_context.jsonl,deepseek,M1,5,with_context
D012,anthropic__case04__without_context.jsonl,anthropic,M3,4,without_context
D013,xai__case01__with_context.jsonl,xai,M4,1,with_context
D014,anthropic__case02__without_context.jsonl,anthropic,M3,2,without_context
D015,xai__case09__with_context.jsonl,xai,M4,9,with_context
D016,xai__case05__without_context.jsonl,xai,M4,5,without_context
D017,deepseek__case10__without_context.jsonl,deepseek,M1,10,without_context
D018,google__case02__without_context.jsonl,google,M2,2,without_context
D019,anthropic__case07__with_context.jsonl,anthropic,M3,7,with_context
D020,google__case08__without_context.jsonl,google,M2,8,without_context
D021,openai__case01__without_context.jsonl,openai,M5,1,without_context
D022,xai__case01__without_context.jsonl,xai,M4,1,without_context
D023,anthropic__case10__without_context.jsonl,anthropic,M3,10,without_context
D024,openai__case08__with_context.jsonl,openai,M5,8,with_context
D025,google__case09__without_context.jsonl,google,M2,9,without_context
D026,anthropic__case03__without_context.jsonl,anthropic,M3,3,without_context
D027,openai__case06__with_context.jsonl,openai,M5,6,with_context
D028,google__case01__with_context.jsonl,google,M2,1,with_context
D029,deepseek__case06__without_context.jsonl,deepseek,M1,6,without_context
D030,anthropic__case02__with_context.jsonl,anthropic,M3,2,with_context
D031,google__case08__with_context.jsonl,google,M2,8,with_context
D032,anthropic__case09__with_context.jsonl,anthropic,M3,9,with_context
D033,google__case06__without_context.jsonl,google,M2,6,without_context
D034,anthropic__case05__with_context.jsonl,anthropic,M3,5,with_context
D035,xai__case06__with_context.jsonl,xai,M4,6,with_context
D036,google__case04__with_context.jsonl,google,M2,4,with_context
D037,deepseek__case05__without_context.jsonl,deepseek,M1,5,without_context
D038,anthropic__case08__without_context.jsonl,anthropic,M3,8,without_context
D039,openai__case05__with_context.jsonl,openai,M5,5,with_context
D040,xai__case02__with_context.jsonl,xai,M4,2,with_context
D041,openai__case04__without_context.jsonl,openai,M5,4,without_context
D042,anthropic__case07__without_context.jsonl,anthropic,M3,7,without_context
D043,deepseek__case08__with_context.jsonl,deepseek,M1,8,with_context
D044,deepseek__case08__without_context.jsonl,deepseek,M1,8,without_context
D045,openai__case04__with_context.jsonl,openai,M5,4,with_context
D046,deepseek__case02__with_context.jsonl,deepseek,M1,2,with_context
D047,deepseek__case03__with_context.jsonl,deepseek,M1,3,with_context
D048,google__case02__with_context.jsonl,google,M2,2,with_context
D049,openai__case02__with_context.jsonl,openai,M5,2,with_context
D050,deepseek__case07__with_context.jsonl,deepseek,M1,7,with_context
D051,xai__case10__without_context.jsonl,xai,M4,10,without_context
D052,xai__case06__without_context.jsonl,xai,M4,6,without_context
D053,xai__case10__with_context.jsonl,xai,M4,10,with_context
D054,xai__case03__without_context.jsonl,xai,M4,3,without_context
D055,deepseek__case03__without_context.jsonl,deepseek,M1,3,without_context
D056,google__case06__with_context.jsonl,google,M2,6,with_context
D057,xai__case08__without_context.jsonl,xai,M4,8,without_context
D058,openai__case07__without_context.jsonl,openai,M5,7,without_context
D059,anthropic__case09__without_context.jsonl,anthropic,M3,9,without_context
D060,deepseek__case04__with_context.jsonl,deepseek,M1,4,with_context
D061,xai__case04__without_context.jsonl,xai,M4,4,without_context
D062,deepseek__case01__with_context.jsonl,deepseek,M1,1,with_context
D063,google__case03__with_context.jsonl,google,M2,3,with_context
D064,deepseek__case04__without_context.jsonl,deepseek,M1,4,without_context
D065,openai__case10__without_context.jsonl,openai,M5,10,without_context
D066,google__case09__with_context.jsonl,google,M2,9,with_context
D067,xai__case02__without_context.jsonl,xai,M4,2,without_context
D068,deepseek__case01__without_context.jsonl,deepseek,M1,1,without_context
D069,openai__case07__with_context.jsonl,openai,M5,7,with_context
D070,anthropic__case10__with_context.jsonl,anthropic,M3,10,with_context
D071,openai__case01__with_context.jsonl,openai,M5,1,with_context
D072,xai__case03__with_context.jsonl,xai,M4,3,with_context
D073,google__case07__with_context.jsonl,google,M2,7,with_context
D074,anthropic__case08__with_context.jsonl,anthropic,M3,8,with_context
D075,openai__case09__without_context.jsonl,openai,M5,9,without_context
D076,openai__case10__with_context.jsonl,openai,M5,10,with_context
D077,google__case04__without_context.jsonl,google,M2,4,without_context
D078,openai__case05__without_context.jsonl,openai,M5,5,without_context
D079,xai__case07__without_context.jsonl,xai,M4,7,without_context
D080,google__case10__with_context.jsonl,google,M2,10,with_context
D081,google__case07__without_context.jsonl,google,M2,7,without_context
D082,xai__case08__with_context.jsonl,xai,M4,8,with_context
D083,openai__case09__with_context.jsonl,openai,M5,9,with_context
D084,xai__case09__without_context.jsonl,xai,M4,9,without_context
D085,anthropic__case06__without_context.jsonl,anthropic,M3,6,without_context
D086,deepseek__case06__with_context.jsonl,deepseek,M1,6,with_context
D087,anthropic__case04__with_context.jsonl,anthropic,M3,4,with_context
D088,anthropic__case05__without_context.jsonl,anthropic,M3,5,without_context
D089,anthropic__case03__with_context.jsonl,anthropic,M3,3,with_context
D090,google__case05__with_context.jsonl,google,M2,5,with_context
D091,google__case03__without_context.jsonl,google,M2,3,without_context
D092,deepseek__case09__without_context.jsonl,deepseek,M1,9,without_context
D093,openai__case03__with_context.jsonl,openai,M5,3,with_context
D094,google__case10__without_context.jsonl,google,M2,10,without_context
D095,openai__case08__without_context.jsonl,openai,M5,8,without_context
D096,openai__case06__without_context.jsonl,openai,M5,6,without_context
D097,deepseek__case10__with_context.jsonl,deepseek,M1,10,with_context
D098,anthropic__case01__with_context.jsonl,anthropic,M3,1,with_context
D099,anthropic__case01__without_context.jsonl,anthropic,M3,1,without_context
D100,google__case01__without_context.jsonl,google,M2,1,without_context
