DialogueCode,file,provider,model_code,case_id,condition
D001,google__case10__with_context.jsonl,google,M5,10,with_context
D002,google__case09__without_context.jsonl,google,M5,9,without_context
D003,anthropic__case06__without_context.jsonl,anthropic,M1,6,without_context
D004,openai__case03__without_context.jsonl,openai,M4,3,without_context
D005,anthropic__case09__without_context.jsonl,anthropic,M1,9,without_context
D006,anthropic__case10__without_context.jsonl,anthropic,M1,10,without_context
D007,google__case03__with_context.jsonl,google,M5,3,with_context
D008,google__case05__without_context.jsonl,google,M5,5,without_context
D009,xai__case04__without_context.jsonl,xai,M2,4,without_context
D010,deepseek__case02__without_context.jsonl,deepseek,M3,2,without_context
D011,deepseek__case04__with_context.jsonl,deepseek,M3,4,with_context
D012,deepseek__case09__with_context.jsonl,deepseek,M3,9,with_context
D013,xai__case02__without_context.jsonl,xai,M2,2,without_context
D014,openai__case09__without_context.jsonl,openai,M4,9,without_context
D015,anthropic__case04__with_context.jsonl,anthropic,M1,4,with_context
D016,openai__case01__without_context.jsonl,openai,M4,1,without_context
D017,deepseek__case10__without_context.jsonl,deepseek,M3,10,without_context
D018,anthropic__case09__with_context.jsonl,anthropic,M1,9,with_context
D019,deepseek__case05__without_context.jsonl,deepseek,M3,5,without_context
D020,google__case03__without_context.jsonl,google,M5,3,without_context
D021,google__case04__without_context.jsonl,google,M5,4,without_context
D022,deepseek__case03__with_context.jsonl,deepseek,M3,3,with_context
D023,openai__case04__with_context.jsonl,openai,M4,4,with_context
D024,openai__case03__with_context.jsonl,openai,M4,3,with_context
D025,deepseek__case06__without_context.jsonl,deepseek,M3,6,without_context
D026,openai__case04__without_context.jsonl,openai,M4,4,without_context
D027,xai__case08__with_context.jsonl,xai,M2,8,with_context
D028,openai__case06__without_context.jsonl,openai,M4,6,without_context
D029,xai__case05__with_context.jsonl,xai,M2,5,with_context
D030,google__case07__with_context.jsonl,google,M5,7,with_context
D031,xai__case10__with_context.jsonl,xai,M2,10,with_context
D032,openai__case07__without_context.jsonl,openai,M4,7,without_context
D033,openai__case01__with_context.jsonl,openai,M4,1,with_context
D034,xai__case01__without_context.jsonl,xai,M2,1,without_context
D035,xai__case07__without_context.jsonl,xai,M2,7,without_context
D036,openai__case08__without_context.jsonl,openai,M4,8,without_context
D037,openai__case08__with_context.jsonl,openai,M4,8,with_context
D038,anthropic__case06__with_context.jsonl,anthropic,M1,6,with_context
D039,google__case06__with_context.jsonl,google,M5,6,with_context
D040,xai__case02__with_context.jsonl,xai,M2,2,with_context
D041,google__case04__with_context.jsonl,google,M5,4,with_context
D042,openai__case02__without_context.jsonl,openai,M4,2,without_context
D043,google__case01__without_context.jsonl,google,M5,1,without_context
D044,xai__case09__without_context.jsonl,xai,M2,9,without_context
D045,anthropic__case07__without_context.jsonl,anthropic,M1,7,without_context
D046,openai__case02__with_context.jsonl,openai,M4,2,with_context
D047,google__case08__with_context.jsonl,google,M5,8,with_context
D048,xai__case09__with_context.jsonl,xai,M2,9,with_context
D049,anthropic__case02__with_context.jsonl,anthropic,M1,2,with_context
D050,anthropic__case03__with_context.jsonl,anthropic,M1,3,with_context
D051,openai__case06__with_context.jsonl,openai,M4,6,with_context
D052,xai__case08__without_context.jsonl,xai,M2,8,without_context
D053,anthropic__case05__with_context.jsonl,anthropic,M1,5,with_context
D054,google__case10__without_context.jsonl,google,M5,10,without_context
D055,openai__case05__with_context.jsonl,openai,M4,5,with_context
D056,google__case06__without_context.jsonl,google,M5,6,without_context
D057,deepseek__case06__with_context.jsonl,deepseek,M3,6,with_context
D058,xai__case07__with_context.jsonl,xai,M2,7,with_context
D059,anthropic__case01__without_context.jsonl,anthropic,M1,1,without_context
D060,anthropic__case07__with_context.jsonl,anthropic,M1,7,with_context
D061,xai__case04__with_context.jsonl,xai,M2,4,with_context
D062,deepseek__case02__with_context.jsonl,deepseek,M3,2,with_context
D063,deepseek__case01__with_context.jsonl,deepseek,M3,1,with_context
D064,deepseek__case04__without_context.jsonl,deepseek,M3,4,without_context
D065,openai__case10__without_context.jsonl,openai,M4,10,without_context
D066,openai__case07__with_context.jsonl,openai,M4,7,with_context
D067,deepseek__case03__without_context.jsonl,deepseek,M3,3,without_context
D068,openai__case10__with_context.jsonl,openai,M4,10,with_context
D069,google__case05__with_context.jsonl,google,M5,5,with_context
D070,google__case07__without_context.jsonl,google,M5,7,without_context
D071,deepseek__case07__with_context.jsonl,deepseek,M3,7,with_context
D072,anthropic__case04__without_context.jsonl,anthropic,M1,4,without_context
D073,google__case01__with_context.jsonl,google,M5,1,with_context
D074,deepseek__case05__with_context.jsonl,deepseek,M3,5,with_context
D075,google__case02__without_context.jsonl,google,M5,2,without_context
D076,deepseek__case09__without_context.jsonl,deepseek,M3,9,without_context
D077,xai__case06__without_context.jsonl,xai,M2,6,without_context
D078,anthropic__case03__without_context.jsonl,anthropic,M1,3,without_context
D079,google__case02__with_context.jsonl,google,M5,2,with_context
D080,anthropic__case08__with_context.jsonl,anthropic,M1,8,with_context
D081,xai__case01__with_context.jsonl,xai,M2,1,with_context
D082,google__case08__without_context.jsonl,google,M5,8,without_context
D083,deepseek__case01__without_context.jsonl,deepseek,M3,1,without_context
D084,deepseek__case10__with_context.jsonl,deepseek,M3,10,with_context
D085,xai__case06__with_context.jsonl,xai,M2,6,with_context
D086,xai__case05__without_context.jsonl,xai,M2,5,without_context
D087,google__case09__with_context.jsonl,google,M5,9,with_context
D088,openai__case05__without_context.jsonl,openai,M4,5,without_context
D089,deepseek__case07__without_context.jsonl,deepseek,M3,7,without_context
D090,xai__case10__without_context.jsonl,xai,M2,10,without_context
D091,anthropic__case05__without_context.jsonl,anthropic,M1,5,without_context
D092,xai__case03__without_context.jsonl,xai,M2,3,without_context
D093,xai__case03__with_context.jsonl,xai,M2,3,with_context
D094,anthropic__case08__without_context.jsonl,anthropic,M1,8,without_context
D095,anthropic__case02__without_context.jsonl,anthropic,M1,2,without_context
D096,deepseek__case08__without_context.jsonl,deepseek,M3,8,without_context
D097,anthropic__case01__with_context.jsonl,anthropic,M1,1,with_context
D098,openai__case09__with_context.jsonl,openai,M4,9,with_context
D099,anthropic__case10__with_context.jsonl,anthropic,M1,10,with_context
D100,deepseek__case08__with_context.jsonl,deepseek,M3,8,with_context
