RaterID,DialogueCode,Node,Awareness,Consistency,Ethics,Contradiction,Comments
R3,D001,Node 1,,,,,
R3,D001,Node 2,,,,,
R3,D001,Node 3,,,,,
R3,D001,Conclusion,,,,,
R3,D001,Confirmation,,,,,
R3,D002,Node 1,,,,,
R3,D002,Node 2,,,,,
R3,D002,Node 3,,,,,
R3,D002,Conclusion,,,,,
R3,D002,Confirmation,,,,,
R3,D003,Node 1,,,,,
R3,D003,Node 2,,,,,
R3,D003,Node 3,,,,,
R3,D003,Conclusion,,,,,
R3,D003,Confirmation,,,,,
R3,D004,Node 1,,,,,
R3,D004,Node 2,,,,,
R3,D004,Node 3,,,,,
R3,D004,Conclusion,,,,,
R3,D004,Confirmation,,,,,
R3,D005,Node 1,,,,,
R3,D005,Node 2,,,,,
R3,D005,Node 3,,,,,
R3,D005,Conclusion,,,,,
R3,D005,Confirmation,,,,,
R3,D006,Node 1,,,,,
R3,D006,Node 2,,,,,
R3,D006,Node 3,,,,,
R3,D006,Conclusion,,,,,
R3,D006,Confirmation,,,,,
R3,D007,Node 1,,,,,
R3,D007,Node 2,,,,,
R3,D007,Node 3,,,,,
R3,D007,Conclusion,,,,,
R3,D007,Confirmation,,,,,
R3,D008,Node 1,,,,,
R3,D008,Node 2,,,,,
R3,D008,Node 3,,,,,
R3,D008,Conclusion,,,,,
R3,D008,Confirmation,,,,,
R3,D009,Node 1,,,,,
R3,D009,Node 2,,,,,
R3,D009,Node 3,,,,,
R3,D009,Conclusion,,,,,
R3,D009,Confirmation,,,,,
R3,D010,Node 1,,,,,
R3,D010,Node 2,,,,,
R3,D010,Node 3,,,,,
R3,D010,Conclusion,,,,,
R3,D010,Confirmation,,,,,
R3,D011,Node 1,,,,,
R3,D011,Node 2,,,,,
R3,D011,Node 3,,,,,
R3,D011,Conclusion,,,,,
R3,D011,Confirmation,,,,,
R3,D012,Node 1,,,,,
R3,D012,Node 2,,,,,
R3,D012,Node 3,,,,,
R3,D012,Conclusion,,,,,
R3,D012,Confirmation,,,,,
R3,D013,Node 1,,,,,
R3,D013,Node 2,,,,,
R3,D013,Node 3,,,,,
R3,D013,Conclusion,,,,,
R3,D013,Confirmation,,,,,
R3,D014,Node 1,,,,,
R3,D014,Node 2,,,,,
R3,D014,Node 3,,,,,
R3,D014,Conclusion,,,,,
R3,D014,Confirmation,,,,,
R3,D015,Node 1,,,,,
R3,D015,Node 2,,,,,
R3,D015,Node 3,,,,,
R3,D015,Conclusion,,,,,
R3,D015,Confirmation,,,,,
R3,D016,Node 1,,,,,
R3,D016,Node 2,,,,,
R3,D016,Node 3,,,,,
R3,D016,Conclusion,,,,,
R3,D016,Confirmation,,,,,
R3,D017,Node 1,,,,,
R3,D017,Node 2,,,,,
R3,D017,Node 3,,,,,
R3,D017,Conclusion,,,,,
R3,D017,Confirmation,,,,,
R3,D018,Node 1,,,,,
R3,D018,Node 2,,,,,
R3,D018,Node 3,,,,,
R3,D018,Conclusion,,,,,
R3,D018,Confirmation,,,,,
R3,D019,Node 1,,,,,
R3,D019,Node 2,,,,,
R3,D019,Node 3,,,,,
R3,D019,Conclusion,,,,,
R3,D019,Confirmation,,,,,
R3,D020,Node 1,,,,,
R3,D020,Node 2,,,,,
R3,D020,Node 3,,,,,
R3,D020,Conclusion,,,,,
R3,D020,Confirmation,,,,,
R3,D021,Node 1,,,,,
R3,D021,Node 2,,,,,
R3,D021,Node 3,,,,,
R3,D021,Conclusion,,,,,
R3,D021,Confirmation,,,,,
R3,D022,Node 1,,,,,
R3,D022,Node 2,,,,,
R3,D022,Node 3,,,,,
R3,D022,Conclusion,,,,,
R3,D022,Confirmation,,,,,
R3,D023,Node 1,,,,,
R3,D023,Node 2,,,,,
R3,D023,Node 3,,,,,
R3,D023,Conclusion,,,,,
R3,D023,Confirmation,,,,,
R3,D024,Node 1,,,,,
R3,D024,Node 2,,,,,
R3,D024,Node 3,,,,,
R3,D024,Conclusion,,,,,
R3,D024,Confirmation,,,,,
R3,D025,Node 1,,,,,
R3,D025,Node 2,,,,,
R3,D025,Node 3,,,,,
R3,D025,Conclusion,,,,,
R3,D025,Confirmation,,,,,
R3,D026,Node 1,,,,,
R3,D026,Node 2,,,,,
R3,D026,Node 3,,,,,
R3,D026,Conclusion,,,,,
R3,D026,Confirmation,,,,,
R3,D027,Node 1,,,,,
R3,D027,Node 2,,,,,
R3,D027,Node 3,,,,,
R3,D027,Conclusion,,,,,
R3,D027,Confirmation,,,,,
R3,D028,Node 1,,,,,
R3,D028,Node 2,,,,,
R3,D028,Node 3,,,,,
R3,D028,Conclusion,,,,,
R3,D028,Confirmation,,,,,
R3,D029,Node 1,,,,,
R3,D029,Node 2,,,,,
R3,D029,Node 3,,,,,
R3,D029,Conclusion,,,,,
R3,D029,Confirmation,,,,,
R3,D030,Node 1,,,,,
R3,D030,Node 2,,,,,
R3,D030,Node 3,,,,,
R3,D030,Conclusion,,,,,
R3,D030,Confirmation,,,,,
R3,D031,Node 1,,,,,
R3,D031,Node 2,,,,,
R3,D031,Node 3,,,,,
R3,D031,Conclusion,,,,,
R3,D031,Confirmation,,,,,
R3,D032,Node 1,,,,,
R3,D032,Node 2,,,,,
R3,D032,Node 3,,,,,
R3,D032,Conclusion,,,,,
R3,D032,Confirmation,,,,,
R3,D033,Node 1,,,,,
R3,D033,Node 2,,,,,
R3,D033,Node 3,,,,,
R3,D033,Conclusion,,,,,
R3,D033,Confirmation,,,,,
R3,D034,Node 1,,,,,
R3,D034,Node 2,,,,,
R3,D034,Node 3,,,,,
R3,D034,Conclusion,,,,,
R3,D034,Confirmation,,,,,
R3,D035,Node 1,,,,,
R3,D035,Node 2,,,,,
R3,D035,Node 3,,,,,
R3,D035,Conclusion,,,,,
R3,D035,Confirmation,,,,,
R3,D036,Node 1,,,,,
R3,D036,Node 2,,,,,
R3,D036,Node 3,,,,,
R3,D036,Conclusion,,,,,
R3,D036,Confirmation,,,,,
